Time,Baseline,IndexFund,MovingAverage,MovingAverageWithSentiment,SelectionBySentiment,SelectionBySentiment(AllStocks),SelectionBySentiment(OneStock)
"2014-06-16T08:00:00Z",1462366.894137,1152937.088695,1141329.586745,1238860.997176,3265936.900949,3407575.810301,2338372.650024
"2014-06-17T08:00:00Z",1466233.104838,1154311.573205,1157151.190101,1243702.254888,3356099.990609,3513114.986986,2334324.550024
"2014-06-18T08:00:00Z",1466582.356496,1157631.647025,1161459.558620,1253594.071710,3426965.641324,3597686.608673,2308867.205449
"2014-06-19T08:00:00Z",1470759.437251,1166419.808925,1196274.127584,1252061.731356,3461747.790844,3624808.466628,2309355.745537
"2014-06-20T08:00:00Z",1461469.669443,1168175.029770,1170022.936082,1240664.819492,3406580.826088,3567037.103534,2274065.745537
"2014-06-23T08:00:00Z",1461147.887586,1169644.735105,1165582.071316,1233779.834268,3323648.073703,3502470.965463,2121668.785537
"2014-06-24T08:00:00Z",1482423.715795,1169079.441670,1171309.139198,1249406.872740,3433923.810927,3620799.223614,2155974.258523
"2014-06-25T08:00:00Z",1451698.488896,1161522.970825,1147391.842578,1224639.176668,3405823.855680,3550767.359966,2163231.211509
"2014-06-26T08:00:00Z",1456144.483328,1167841.867850,1154505.399148,1238191.746519,3491552.811058,3617791.602896,2243045.265537
"2014-06-27T08:00:00Z",1454603.809133,1165860.544030,1151517.227758,1234038.065338,3478474.518714,3598433.902245,2235809.628207
"2014-06-30T08:00:00Z",1485006.085919,1168377.382130,1167272.918018,1259617.805799,3497959.267230,3632173.967168,2252929.136628
"2014-07-01T08:00:00Z",1479925.430034,1169269.882130,1173765.463736,1259043.103690,3521409.084503,3656519.732799,2265175.376448
"2014-07-02T08:00:00Z",1483249.173921,1175678.044030,1168149.994097,1250644.075816,3523872.649809,3681263.043463,2273640.871774
"2014-07-03T08:00:00Z",1488407.472732,1177355.911900,1168263.143557,1248993.250646,3648505.927429,3782349.652221,2330779.112318
"2014-07-07T08:00:00Z",1492737.758264,1182318.191670,1171101.497527,1250518.418185,3655762.239328,3791493.170958,2340346.498894
"2014-07-08T08:00:00Z",1487019.590188,1177659.367850,1170208.082851,1241618.224027,3611932.519677,3731849.102248,2307911.725742
"2014-07-09T08:00:00Z",1483225.426714,1170941.794645,1165706.914722,1235995.703209,3600228.786949,3715707.504576,2302983.229154
"2014-07-10T08:00:00Z",1471183.319739,1171875.985105,1157277.493153,1223802.146623,3568575.336374,3689436.433728,2299339.465472
"2014-07-11T08:00:00Z",1480215.339675,1171334.514875,1164531.738567,1236250.494361,3631102.784792,3754081.074120,2344702.798220
"2014-07-14T08:00:00Z",1485960.041154,1173774.000000,1174556.246842,1256006.411512,3844499.542682,3974705.268550,2350768.686350
"2014-07-15T08:00:00Z",1513159.727058,1178236.500000,1193341.090599,1287263.657095,3883301.328948,4014809.957738,2374505.339098
"2014-07-16T08:00:00Z",1504111.423887,1177635.544645,1188599.738306,1273829.835075,3838189.452970,3954219.142456,2357889.798220
"2014-07-17T08:00:00Z",1492589.615106,1179658.558925,1170741.425743,1263588.611007,3710558.752970,3822724.742456,2278755.798220
"2014-07-18T08:00:00Z",1483813.928614,1168823.632130,1170170.919641,1265103.300747,3684251.096715,3796637.740708,2244933.504136
"2014-07-21T08:00:00Z",1524743.881556,1177980.691055,1197941.678616,1308159.443738,3945072.674807,4065415.395691,2264051.863327
